year,State,pm25,stateLat,stateLong,fultonLat,fultonLong
2002,IA,0.006110458,41.878003,-93.097702,33.79,-84.47
2002,IL,0.029514906,40.633125,-89.398528,33.79,-84.47
2002,IN,0.101944937,40.551217,-85.602364,33.79,-84.47
2002,KS,0.004474209,39.011902,-98.484246,33.79,-84.47
2002,KY,0.086942563,37.839333,-84.270018,33.79,-84.47
2002,LA,0.013342979,31.244823,-92.145024,33.79,-84.47
2002,MA,0.001569448,42.407211,-71.382437,33.79,-84.47
2002,MD,0.024985809,39.045755,-76.641271,33.79,-84.47
2002,MI,0.015442858,44.314844,-85.602364,33.79,-84.47
2002,MN,0.003683079,46.729553,-94.6859,33.79,-84.47
2002,MO,0.015206992,37.964253,-91.831833,33.79,-84.47
2002,MS,0.013579704,32.354668,-89.398528,33.79,-84.47
2002,MT,0.000398,46.879682,-110.362566,33.79,-84.47
2002,NC,0.183551517,35.759573,-79.0193,33.79,-84.47
2002,ND,0.004594895,47.551493,-101.002012,33.79,-84.47
2002,NE,0.001952414,41.492537,-99.901813,33.79,-84.47
2002,NH,0.000759197,43.193852,-71.572395,33.79,-84.47
2002,NJ,0.002734465,40.058324,-74.405661,33.79,-84.47
2002,NM,0.000526312,34.97273,-105.032363,33.79,-84.47
2002,NV,0.000301643,38.80261,-116.419389,33.79,-84.47
2002,NY,0.006219005,43.299428,-74.217933,33.79,-84.47
2002,OH,0.147918896,40.417287,-82.907123,33.79,-84.47
2002,OK,0.00410846,35.007752,-97.092877,33.79,-84.47
2002,OR,0.00010044,43.804133,-120.554201,33.79,-84.47
2002,PA,0.055237747,41.203322,-77.194525,33.79,-84.47
2002,SC,0.115337293,33.836081,-81.163725,33.79,-84.47
2002,SD,0.000378931,43.969515,-99.901813,33.79,-84.47
2002,TN,0.118947755,35.517491,-86.580447,33.79,-84.47
2002,TX,0.036286206,31.968599,-99.901813,33.79,-84.47
2002,UT,0.00031746,39.32098,-111.093731,33.79,-84.47
2002,VA,0.034988587,37.431573,-78.656894,33.79,-84.47
2002,WA,0.000214414,47.751074,-120.740139,33.79,-84.47
2002,WI,0.00997002,43.78444,-88.787868,33.79,-84.47
2002,WV,0.069412216,38.597626,-80.454903,33.79,-84.47
2002,WY,0.001439056,43.075968,-107.290284,33.79,-84.47
2003,AL,0.166607537,32.318231,-86.902298,33.79,-84.47
2003,AR,0.008384242,35.20105,-91.831833,33.79,-84.47
2003,AZ,0.001055096,34.048928,-111.093731,33.79,-84.47
2003,CO,0.002185076,39.550051,-105.782067,33.79,-84.47
2003,CT,0.0000857,41.603221,-73.087749,33.79,-84.47
2003,DE,0.001543526,38.910832,-75.52767,33.79,-84.47
2003,FL,0.060879294,27.664827,-81.515754,33.79,-84.47
2003,GA,0.496835865,32.157435,-82.907123,33.79,-84.47
2003,IA,0.010089537,41.878003,-93.097702,33.79,-84.47
2003,IL,0.060703991,40.633125,-89.398528,33.79,-84.47
2003,IN,0.191990883,40.551217,-85.602364,33.79,-84.47
2003,KS,0.007847276,39.011902,-98.484246,33.79,-84.47
2003,KY,0.120711702,37.839333,-84.270018,33.79,-84.47
2003,LA,0.010108878,31.244823,-92.145024,33.79,-84.47
2003,MA,0.000715634,42.407211,-71.382437,33.79,-84.47
2003,MD,0.013010447,39.045755,-76.641271,33.79,-84.47
2003,MI,0.018538389,44.314844,-85.602364,33.79,-84.47
2003,MN,0.005063065,46.729553,-94.6859,33.79,-84.47
2003,MO,0.028814108,37.964253,-91.831833,33.79,-84.47
2003,MS,0.011416815,32.354668,-89.398528,33.79,-84.47
2003,MT,0.000598634,46.879682,-110.362566,33.79,-84.47
2003,NC,0.123857096,35.759573,-79.0193,33.79,-84.47
2003,ND,0.004763046,47.551493,-101.002012,33.79,-84.47
2003,NE,0.00315075,41.492537,-99.901813,33.79,-84.47
